experiment,estimator,mae,seed,task_spread
task_spread,rbf_paired,0.17449982853307577,0,0.1
task_spread,rbf_unpaired,0.13022101175117634,0,0.1
task_spread,rbf_combined,0.12733043283635334,0,0.1
task_spread,rbf_paired,0.18769143354179374,1,0.1
task_spread,rbf_unpaired,0.1483168065234223,1,0.1
task_spread,rbf_combined,0.13492291837463363,1,0.1
task_spread,rbf_paired,0.16809128320160957,2,0.1
task_spread,rbf_unpaired,0.1304954032356907,2,0.1
task_spread,rbf_combined,0.12662878048743767,2,0.1
task_spread,rbf_paired,0.17434916173002865,3,0.1
task_spread,rbf_unpaired,0.14510672720274553,3,0.1
task_spread,rbf_combined,0.12724319760385305,3,0.1
task_spread,rbf_paired,0.1798485798932152,4,0.1
task_spread,rbf_unpaired,0.1348220421890458,4,0.1
task_spread,rbf_combined,0.13258486201941316,4,0.1
task_spread,rbf_paired,0.17401821858519848,5,0.1
task_spread,rbf_unpaired,0.13651769803544378,5,0.1
task_spread,rbf_combined,0.13420945461561862,5,0.1
task_spread,rbf_paired,0.1805944042859315,6,0.1
task_spread,rbf_unpaired,0.12899471973268686,6,0.1
task_spread,rbf_combined,0.1285790438099389,6,0.1
task_spread,rbf_paired,0.14919358389407264,7,0.1
task_spread,rbf_unpaired,0.12703222661584412,7,0.1
task_spread,rbf_combined,0.11952716950119952,7,0.1
task_spread,rbf_paired,0.18956960775113857,8,0.1
task_spread,rbf_unpaired,0.15314957988944522,8,0.1
task_spread,rbf_combined,0.14074471782826187,8,0.1
task_spread,rbf_paired,0.17360203889686218,9,0.1
task_spread,rbf_unpaired,0.13459190788853878,9,0.1
task_spread,rbf_combined,0.13382317078343361,9,0.1
task_spread,rbf_paired,0.1902812378470919,10,0.1
task_spread,rbf_unpaired,0.1347000231540653,10,0.1
task_spread,rbf_combined,0.13263610628059067,10,0.1
task_spread,rbf_paired,0.16870162585764079,11,0.1
task_spread,rbf_unpaired,0.13406168935814075,11,0.1
task_spread,rbf_combined,0.1303123686208727,11,0.1
task_spread,rbf_paired,0.19710275772964722,12,0.1
task_spread,rbf_unpaired,0.14885513213878895,12,0.1
task_spread,rbf_combined,0.13709510695272778,12,0.1
task_spread,rbf_paired,0.20249747487905792,13,0.1
task_spread,rbf_unpaired,0.15476581611394816,13,0.1
task_spread,rbf_combined,0.14439611549561673,13,0.1
task_spread,rbf_paired,0.1803530882826035,14,0.1
task_spread,rbf_unpaired,0.13246985477202816,14,0.1
task_spread,rbf_combined,0.13120018760728958,14,0.1
task_spread,rbf_paired,0.16699821189329597,15,0.1
task_spread,rbf_unpaired,0.1292246113911447,15,0.1
task_spread,rbf_combined,0.12851985651144593,15,0.1
task_spread,rbf_paired,0.16149085988680986,16,0.1
task_spread,rbf_unpaired,0.13112941826115806,16,0.1
task_spread,rbf_combined,0.12546356705172518,16,0.1
task_spread,rbf_paired,0.17514253632851084,17,0.1
